level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,222,2010,Latin America-Caribbean,U.S. Virgin Islands, 100,1.00,94.8,1.00,1.00,1.00,1.00,1.00, 3.7
1,223,2010,Latin America-Caribbean,Uruguay, 100,1.00,57.9,1.00,1.00,1.00,1.00,1.00,40.7
1,224,2010,Asia-Pacific,Uzbekistan, 100,1.00, 2.3,1.00,1.00,1.00,96.7,1.00,1.00
1,225,2010,Asia-Pacific,Vanuatu, 100,1.00,93.3, 4.1,1.00,1.00,1.00, 1.4, 1.2
1,226,2010,Latin America-Caribbean,Venezuela, 100,1.00,89.3,1.00,1.00,1.00,1.00,1.00,10.0
1,227,2010,Asia-Pacific,Vietnam, 100,16.4, 8.2,45.3,1.00,1.00,1.00,1.00,29.6
1,228,2010,Asia-Pacific,Wallis and Futuna, 100,1.00,97.4, 1.2,1.00,1.00,1.00,1.00,1.00
1,229,2010,Middle East-North Africa,Western Sahara, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,230,2010,Middle East-North Africa,Yemen, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,231,2010,Sub-Saharan Africa,Zambia, 100,1.00,97.6,1.00,1.00,1.00,1.00,1.00,1.00
1,232,2010,Sub-Saharan Africa,Zimbabwe, 100,1.00,87.0, 3.8,1.00,1.00,1.00,1.00, 7.9
1,237,2010,Sub-Saharan Africa,South Sudan, 100,1.00,60.5,32.9,1.00,1.00, 6.2,1.00,1.00
1,238,2010,Latin America-Caribbean,Curacao, 100,1.00,93.9, 1.2,1.00,1.00,1.00,1.00, 3.3
1,239,2010,Latin America-Caribbean,Sint Maarten, 100,1.00,93.9, 1.2,1.00,1.00,1.00,1.00, 3.3
