time    temperature
-6465.431037746319      0.5038563964453084
-6445.055412527345      0.48884424595135645
-6421.191110509373      0.5040991481140962
-6400.15843203789       0.5042145578382282
-6374.8682013513135     0.5144359660165447
-6354.242639731368      0.5120284826810089
-6335.651392362406      0.5196924733060664
-6316.203864688319      0.5122372076201547
-6297.402551188126      0.519902350912206
-6275.090990339895      0.5149834597850198
-6249.44992360687       0.5226861339143714
-6230.3284515989835     0.5429563296849471
-6209.454076270918      0.5376694583239638
-6188.072338151138      0.5280642409850174
-6171.078588323615      0.5281574884514404
-6154.043836326391      0.543374915763561
-6137.484228540894      0.5510277584521255
-6121.308552359726      0.5738024493057257
-6102.1866557886515     0.5784445607171484
-6089.099807307914      0.5664172064929902
-6078.62535930412       0.5556718565909673
-6052.520521594637      0.5382605076143054
-6025.462161174095      0.5494818767569303
-6004.930819205994      0.55175510054623
-5980.582098762328      0.5626915308315423
-5957.254052160075      0.5550415016854879
-5940.644120344074      0.5793309708563275
-5921.8648062144075     0.5522108972559598
-5894.047181025553      0.5372395822250082
-5871.633930446107      0.5449245448026749
-5848.7847217207855     0.5634147244536143
-5826.296068304904      0.5602972758788027
-5807.820520446727      0.5629193133551356
-5783.580526331067      0.568093640428037
-5760.051413727191      0.560660771061805
-5745.495099688809      0.5632613030653779
-5729.133119219328      0.5593180292813154
-5712.245832437795      0.5634437471970761
-5695.788061812475      0.5595009990291633
-5675.55969154165       0.5565872044114899
-5657.042990862317      0.5687879724447882
-5640.825490776251      0.5764389379328207
-5624.214645384054      0.5538441520501989
-5602.465562281415      0.5431606679028498
-5581.886714696444      0.5465144348531981
-5565.2494771030615     0.5466057260790667
-5542.5566250790525     0.5353872793001262
-5523.467323601504      0.5468349915440331
-5506.601619453357      0.5544895138330732
-5489.662297498604      0.5697064175050448
-5473.059065241367      0.5622355447080443
-5457.764277112128      0.6001293568459083
-5445.932830960548      0.5699463681930395
-5423.304927436762      0.5700705311762233
-5404.42675510966       0.5852980736352089
-5387.619389327096      0.5929522758121593
-5370.982151733715      0.5930435670380279
-5354.344914140334      0.5931348582638973
-5337.715289681912      0.6083500625753873
-5318.621547208972      0.6109754921860144
-5303.179028008537      0.6236635235147192
-5287.438678134831      0.6313118708020111
-5274.013651782425      0.6313855361028855
-5259.952665826657      0.6182292305148192
-5238.585698656088      0.6315799350379718
-5221.8986614926125     0.6543574318123673
-5205.072364381123      0.6544497604385304
-5188.624186305849      0.6545400142641054
-5171.6558498478735     0.6621950997133048
-5153.532064272125      0.662294547869485
-5131.233329743645      0.6699788820789729
-5110.555620163299      0.6700923440311248
-5093.358643136045      0.6656495201801738
-5074.034094579878      0.6869290939221084
-5055.037353113767      0.6855209366430826
-5038.911887370294      0.7007333745537885
-5021.066314748303      0.7083932735403522
-5003.58337628771       0.7160511826943523
-4985.120758674617      0.7085905126469099
-4959.74691758215       0.6741607033553931
-4929.108203802836      0.6786499529160714
-4906.171477689028      0.6712138330289177
-4889.6054571464665     0.6637427560451936
-4876.319674629614      0.6638156572925178
-4856.745559453324      0.6361958130659593
-4838.6687948548115     0.6262123666369783
-4822.031557261431      0.6263036578628469
-4805.39431966805       0.6263949490887155
-4791.526148439421      0.6189090685674632
-4768.266517315706      0.6223975768004371
-4746.484608845703      0.6191562188134974
-4736.053463524904      0.5889655464824504
-4718.344586553725      0.606347237807852
-4692.607981019153      0.5816419614738537
-4671.391301764968      0.5817583808401761
-4653.78731445855       0.5742929993487325
-4628.914604780932      0.5626664039456921
-4605.7094028726915     0.5518708783710382
-4594.614104576291      0.5443697826454734
-4571.009393542288      0.5444993055301754
-4542.779797279583      0.5597781607717023
-4522.5232149057865     0.552327334500383
-4511.049797573174      0.5448283135754055
-4492.496183719941      0.5427695552891638
-4471.498546385274      0.5450453377169033
-4454.347066902641      0.5451394506715719
-4430.27820599054       0.5560743453221626
-4407.649416684546      0.5605196431258141
-4390.89997839997       0.5530495725850413
-4375.016920512899      0.5657400212210986
-4357.544477705447      0.5532325996369059
-4341.201298054013      0.5608842547491335
-4324.270002518686      0.553415182088643
-4306.928211580202      0.5560309984565475
-4291.622330025737      0.5611563026022228
-4278.487297651325      0.5650093653740544
-4256.561487100775      0.553786709713922
-4239.420090792442      0.5538807673405746
-4220.965549547391      0.556502689550209
-4201.390197740182      0.5717340575462782
-4175.176893141985      0.5920431673545474
-4153.862024587421      0.5568708974945471
-4138.801225556874      0.5695568342626576
-4118.312171532374      0.5642678485810757
-4096.932233979434      0.5546626213621266
-4084.6177464991597     0.539606238095641
-4069.0731266999046     0.549774170523567
-4049.3014285168447     0.5398000244705541
-4032.752418698583      0.5398908315762858
-4015.520994048293      0.5399853832030788
-3999.6074296446677     0.5476346809466381
-3982.752478143322      0.5401651893740294
-3966.203468325055      0.5402559964797611
-3945.860132465774      0.5428882828123323
-3931.9574926679234     0.5480058871424927
-3911.017251781992      0.55001128400409
-3884.3881280241185     0.5633908628354236
-3862.6684968778536     0.5725844148965749
-3843.7441381986755     0.5711758604414365
-3827.1069006052967     0.5712671516673051
-3810.4696630119142     0.5713584428931746
-3802.4799316453827     0.5487163515571485
-3781.955681113963      0.5639529263146938
-3757.413217952064      0.559046276510978
-3739.7690163749976     0.586870343688739
-3723.6359374965687     0.5869588685138236
